sensor_1,1547718199,35.8
sensor_6,1547718201,15.4
sensor_7,1547718202,6.7
sensor_10,1547718205,38.1
sensor_1,1547718199,35.8
sensor_1,1547718299,36.8
sensor_1,1547718399,35.5
sensor_6,1547719201,15.8




sensor_6,1547718199,35.8
sensor_6,1547718202,15.4
sensor_6,1547718203,13.4
sensor_6,1547718204,14.4
sensor_6,1547718205,15.4
sensor_6,1547718206,16.4
sensor_6,1547718207,16.4


sensor_1,1547718211,36.1
sensor_1,1547718215,36.5
sensor_1,1547718214,37.5
sensor_1,1547718217,36.5
sensor_1,1547718212,32.2
sensor_1,1547718218,36.5
sensor_1,1547718222,31.1
sensor_1,1547718280,30.5
sensor_1,1547718212,32.2
sensor_1,1547718288,33.8
sensor_1,1547718228,32.2
sensor_1,1547718227,29.2
sensor_1,1547718225,13.2
sensor_1,1547718292,33.8
